PLAYERS,,,,,,,,Game Info,,,,,,,,,,,DEFENSES,,,,,ACTIONS MASTER,,,,,,,,,,,,,,,,,,,,,,,OVERALL ACTION CATEGORIES,,,,,,,,,,,GAME TAB LOCATIONS,,,,,,,,,,DEFENSIVE GAME TOTALS,,,,,DEFENSIVE PLAYER GAME TOTALS,,,,,,,,,,,,ACTION GAME TOTALS,,,,,,,,,,,ACTION CATEGORY TOTALS,,,,,,,,,,,,ACTION CATEGORY VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring Ranges,,,,,SEASON TOTAL STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,PER GAME STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,,PLAYER DEFENSIVE ACTION PER-GAME AVERAGES,,,,,,,,,,,,,,,,,,,,,,,,ACTION CATEGORY PER GAME STATS,,,,,,,,,,,,PLAYER ACTION PER GAME STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey #,Player Name,# Player Name,Position,Role,,,,Game #,Date,Time,Opponent,Location,Tab Name,SAC Score,OPP Score,,,,Name,Type,,,,Action,Category,Score,Man,50,32,21,,,,,,,Man,50,32,21,,,,,,,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Defense,Section Type,Label / Category / Action,Header Range,Data Range,Column(s),Notes,,,,Defense,Total Games,,,,Player,Overall,Man,50,32,21,,,,,,,Action,Man,50,32,21,,,,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,Positive Total,Negative Total,Net Performance,Positive %,Negative %,Net Efficiency %,Pos/Neg Ratio,Sum Of Absolute Values,,,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Per-Game Average,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Defensive Breakdown % of Net,Team Value Totals,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Team Value Totals,Defensive Breakdown % of Net,Sum Of Absolute Values,,,Per-Game Averages ,,,,PPM Range,Label,Impact,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Per-Game Averages,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Player,Block,Charge,Contested Shot,Audible,Good Foul,Jump Ball,No Ball In Paint,Post Shift,Rebound,Rotation Help,Steal,PNR Trap,Successful Trap,Tip,Top Rotation,Bad Foul,Failed Audible,Middle Drive,Missed PNR Trap,Missed REB Duty,Missed Rotation,Missed Trap,No Shot Contest,No Front (High),No Front (Low),Same Side Help,Scored On
0,Mia Rivera,0 - Mia Rivera,PG,⭐,,,,S1,09/27/25,3:00 PM,Mt. San Antonio,Home,S1 - Mt. San Antonio (09/27/25),,,,,,Man,Man-To-Man,,,,Block,Stops,2,MAN,50,32,21,,,,,,,Block,Block,Block,Block,,,,,,,Contested Shot,Audible,Rebound,Block,Middle Drive,Failed Audible,Missed REB Duty,Bad Foul,,,,OVERALL,Main Header,OVERALL,A4:B4,A4:B4,A–B,Displays “OVERALL” defense name,,,,OVERALL,21,,,,0 - Mia Rivera,19,18,7,,11,,,,,,,Block,20,8,0,13,,,,,,,0 - Mia Rivera,174,394,47,71,115,107,8,16,,,,0 - Mia Rivera,267,452,94,177,-271,-201,-16,-16,990,-504,486,66.3%,33.7%,32.5%,1.96,1494,,,,,,Block,21,,,,1,,,,,1,,,,,,,,,,2,0.5,,Block,21,,,,2,,,,,2,,,,,,,,,,4,,,,Block,2,3,2,3,8,,1,2,9,1,20,1,,,,,,,52,.9%,104,,,Block,4,6,4,6,16,,2,4,18,2,40,2,,,,,,,104,.9%,11395,,,,,,,1.00+,Elite Defensive Impact,💎,,,,0 - Mia Rivera,19,602,967,-504,463,0.77,,,,0 - Mia Rivera,18,802,605,-392,213,0.27,,,,0 - Mia Rivera,7,101,177,-59,118,1.00,,,,0 - Mia Rivera,,,,,,,,,,0 - Mia Rivera,11,134,185,-53,132,0.99,,,,0 - Mia Rivera,19,31.7,50.9,-26.5,24.3,0.08,,,,0 - Mia Rivera,18,44.6,33.6,-21.8,11.8,0.03,,,,0 - Mia Rivera,7,14.4,25.3,-8.4,16.9,0.12,,,,0 - Mia Rivera,,,,,,,,,,0 - Mia Rivera,11,134.0,184.5,-53.0,131.5,0.98,,,,Block,21,,,,0.2,,,,,0.3,,,,,,,,,,0.5,,,,0 - Mia Rivera,9.2,20.7,2.5,3.7,6.1,5.6,0.4,0.8,,,,Block,0.1,0.1,0.1,0.2,0.4,,0.0,0.2,0.8,0.1,1.0,0.1,,,,,,,3.0,,,,0 - Mia Rivera,2,,86,2,17,7,47,,47,287,52,22,36,81,,16,,18,6,8,69,10,56,13,,9,41
2,Victoria Om,2 - Victoria Om,PG,⭐,,,,S2,09/28/25,11:00 AM,Sequoias,Home,S2 - Sequoias (09/28/25),,,,,,50,Half Court Trap,,,,Charge,Stops,4,MAN,50,32,21,,,,,,,Charge,Charge,Charge,Charge,,,,,,,Jump Ball,No Ball In Paint,,Charge,No Shot Contest,Missed PNR Trap,,,,,,OVERALL,Subheader,Player,A5,A6:A18,A,Player names,,,,MAN,20,,,,2 - Victoria Om,21,20,8,,13,,,,,,,Charge,20,8,0,13,,,,,,,2 - Victoria Om,130,455,69,51,129,116,27,31,,,,2 - Victoria Om,193,532,138,131,-307,-220,-54,-31,994,-612,382,61.9%,38.1%,23.8%,1.62,1606,,,,,,Charge,21,,,2,,,,,,,,,,,,,,,,2,0.2,,Charge,21,,,8,,,,,,,,,,,,,,,,8,,,,Charge,,1,4,1,,,4,,,,,,,,,,,,10,.4%,40,,,Charge,,4,16,4,,,16,,,,,,,,,,,,40,.4%,,,,,,,,0.75–0.99,Above Average Defender,✅,,,,2 - Victoria Om,21,666,966,-612,354,0.53,,,,2 - Victoria Om,20,871,568,-440,128,0.15,,,,2 - Victoria Om,8,111,179,-56,123,1.00,,,,2 - Victoria Om,,,,,,,,,,2 - Victoria Om,13,163,219,-116,103,0.63,,,,2 - Victoria Om,21,31.7,46.0,-29.1,16.8,0.05,,,,2 - Victoria Om,20,43.6,28.4,-22.0,6.4,0.01,,,,2 - Victoria Om,8,13.9,22.4,-7.0,15.4,0.11,,,,2 - Victoria Om,,,,,,,,,,2 - Victoria Om,13,163.0,218.5,-116.0,102.5,0.63,,,,Charge,21,,,0.2,,,,,,,,,,,,,,,,0.2,,,,2 - Victoria Om,6.2,21.7,3.3,2.4,6.1,5.5,1.3,1.5,,,,Charge,,0.0,0.2,0.1,,,0.2,,,,,,,,,,,,0.5,,,,2 - Victoria Om,3,1,54,3,10,9,57,,69,318,37,34,43,67,,31,2,10,6,27,80,10,70,12,,6,49
11,Anaya Beard,11 - Anaya Beard,F,⭐,,,,S3,10/17/25,1:00 PM,Cerritos,Home,S3 - Cerritos (10/17/25),,,,,,32,Zone,,,,Contested Shot,Hustle Plays,2,MAN,50,32,21,,,,,,,Contested Shot,Contested Shot,Contested Shot,Contested Shot,,,,,,,Tip,Post Shift,,Good Foul,Scored On,Missed Rotation,,,,,,OVERALL,Subheader,Minutes Played,B5,B6:B18,B,Minutes played,,,,50,8,,,,11 - Anaya Beard,21,20,8,,11,,,,,,,Contested Shot,20,8,0,13,,,,,,,11 - Anaya Beard,150,388,79,55,129,154,32,26,,,,11 - Anaya Beard,250,457,158,133,-312,-298,-64,-26,998,-700,298,58.8%,41.2%,17.6%,1.43,1698,,,,,,Contested Shot,21,9,11,17,3,13,,7,3,4,1,25,7,,,,,,,100,10.8,,Contested Shot,21,18,22,34,6,26,,14,6,8,2,50,14,,,,,,,200,,,,Contested Shot,86,54,94,25,116,2,55,12,27,9,134,48,,,,,,,662,11.6%,1324,,,Contested Shot,172,108,188,50,232,4,110,24,54,18,268,96,,,,,,,1324,11.6%,,,,,,,,0.50–0.74,Solid Performance,➖,,,,11 - Anaya Beard,21,545,982,-700,282,0.52,,,,11 - Anaya Beard,20,756,687,-516,171,0.23,,,,11 - Anaya Beard,8,91,134,-68,66,0.54,,,,11 - Anaya Beard,,,,,,,,,,11 - Anaya Beard,11,107,161,-116,45,0.32,,,,11 - Anaya Beard,21,26.0,46.8,-33.3,13.4,0.05,,,,11 - Anaya Beard,20,37.8,34.4,-25.8,8.6,0.02,,,,11 - Anaya Beard,8,11.4,16.8,-8.5,8.3,0.07,,,,11 - Anaya Beard,,,,,,,,,,11 - Anaya Beard,11,107.0,161.0,-116.0,45.0,0.32,,,,Contested Shot,21,0.8,0.8,1.5,0.6,1.0,,0.8,0.6,1.0,0.3,2.1,1.2,,,,,,,10.8,,,,11 - Anaya Beard,7.1,18.5,3.8,2.6,6.1,7.3,1.5,1.2,,,,Contested Shot,4.5,2.6,4.5,1.5,5.5,1.0,2.6,1.0,2.3,0.9,6.4,2.4,,,,,,,35.1,,,,11 - Anaya Beard,2,4,94,6,17,6,32,,79,281,32,57,12,50,,26,2,10,19,32,117,1,65,,10,5,54
12,Aisleigh Canaday,12 - Aisleigh Canaday,F,🪑,,,,S4,10/21/25,5:00 PM,East Los Angeles,Home,S4 - East Los Angeles (10/21/25),,,,,,21,Zone,,,,Audible,Team Defense,1,MAN,50,32,21,,,,,,,Audible,Audible,Audible,Audible,,,,,,,,Rotation Help,,Steal,,Missed Trap,,,,,,OVERALL,Subheader,Positive Total,C5,C6:C18,C,Positive outcomes,,,,32,0,,,,12 - Aisleigh Canaday,17,15,4,,5,,,,,,,Audible,20,8,0,13,,,,,,,12 - Aisleigh Canaday,60,129,20,19,76,92,17,24,,,,12 - Aisleigh Canaday,89,148,40,47,-179,-176,-34,-24,324,-413,-89,44.0%,56.0%,-12.1%,0.78,737,,,,,,Audible,21,,,,,,,,,,,,,,,,,,,,,,Audible,21,,,,,,,,,,,,,,,,,,,,,,,Audible,2,3,6,,1,,1,,,,,4,,,,,,,17,.1%,17,,,Audible,2,3,6,,1,,1,,,,,4,,,,,,,17,.1%,,,,,,,,0.30–0.49,Below Average,⚠️,,,,12 - Aisleigh Canaday,17,216,314,-413,-99,-0.46,,,,12 - Aisleigh Canaday,15,250,196,-280,-84,-0.34,,,,12 - Aisleigh Canaday,4,33,41,-46,-5,-0.11,,,,12 - Aisleigh Canaday,,,,,,,,,,12 - Aisleigh Canaday,5,56,77,-87,-10,-0.13,,,,12 - Aisleigh Canaday,17,12.7,18.4,-24.3,-5.9,-0.05,,,,12 - Aisleigh Canaday,15,16.7,13.1,-18.7,-5.6,-0.03,,,,12 - Aisleigh Canaday,4,8.3,10.3,-11.5,-1.3,-0.02,,,,12 - Aisleigh Canaday,,,,,,,,,,12 - Aisleigh Canaday,5,56.0,76.5,-87.0,-10.5,-0.14,,,,Audible,21,,,,,,,,,,,,,,,,,,,,,,,12 - Aisleigh Canaday,3.5,7.6,1.2,1.1,4.5,5.4,1.0,1.4,,,,Audible,0.1,0.1,0.3,,0.0,,0.0,,,,,0.2,,,,,,,0.8,,,,12 - Aisleigh Canaday,3,1,25,,4,4,21,,20,89,11,15,4,31,,24,,7,12,17,65,,42,,8,7,27
20,Faith Ledesma,20 - Faith Ledesma,G,⭐,,,,1,10/31/25,1:00 PM,Modesto,Neutral,1 - Modesto (10/31/25),,,,,,,,,,,Good Foul,Stops,1,MAN,50,32,21,,,,,,,Good Foul,Good Foul,Good Foul,Good Foul,,,,,,,,PNR Trap,,,,No Front (High),,,,,,OVERALL,Subheader,Negative Total,D5,D6:D18,D,Negative outcomes,,,,21,13,,,,20 - Faith Ledesma,21,20,8,,13,,,,,,,Good Foul,20,8,0,13,,,,,,,20 - Faith Ledesma,178,405,52,32,122,149,46,30,,,,20 - Faith Ledesma,300,439,104,80,-294,-298,-92,-30,923,-714,209,56.4%,43.6%,12.8%,1.29,1637,,,,,,Good Foul,21,2,2,3,1,1,,1,1,,1,3,,,,,,,,15,1.8,,Good Foul,21,2,2,3,1,1,,1,1,,1,3,,,,,,,,15,,,,Good Foul,17,10,17,4,4,,11,3,5,1,19,5,,,,,,,96,.8%,96,,,Good Foul,17,10,17,4,4,,11,3,5,1,19,5,,,,,,,96,.8%,,,,,,,,0.00–0.29,Needs Improvement,❌,,,,20 - Faith Ledesma,21,598,902,-714,188,0.31,,,,20 - Faith Ledesma,20,812,582,-580,2,0.00,,,,20 - Faith Ledesma,8,94,141,-51,90,0.72,,,,20 - Faith Ledesma,,,,,,,,,,20 - Faith Ledesma,13,145,179,-83,96,0.50,,,,20 - Faith Ledesma,21,28.5,42.9,-34.0,8.9,0.03,,,,20 - Faith Ledesma,20,40.6,29.1,-29.0,0.1,0.00,,,,20 - Faith Ledesma,8,11.8,17.6,-6.4,11.3,0.10,,,,20 - Faith Ledesma,,,,,,,,,,20 - Faith Ledesma,13,145.0,178.5,-83.0,95.5,0.49,,,,Good Foul,21,0.2,0.2,0.3,0.2,0.1,,0.1,0.2,,0.3,0.3,,,,,,,,1.8,,,,20 - Faith Ledesma,8.5,19.3,2.5,1.5,5.8,7.1,2.2,1.4,,,,Good Foul,0.9,0.5,0.8,0.2,0.2,,0.5,0.3,0.4,0.1,0.9,0.3,,,,,,,5.1,,,,20 - Faith Ledesma,8,,116,1,4,6,43,,52,327,20,12,22,56,,30,,11,7,46,123,4,61,,,15,50
21,Beverly Tandarich,21 - Beverly Tandarich,G,🪑,,,,2,11/01/25,1:00 PM,LA Southwest,Neutral,2 - LA Southwest (11/01/25),,,,,,,,,,,Jump Ball,Hustle Plays,2,MAN,50,32,21,,,,,,,Jump Ball,Jump Ball,Jump Ball,Jump Ball,,,,,,,,Successful Trap,,,,No Front (Low),,,,,,OVERALL,Subheader,Net Performance,E5,E6:E18,E,Positives minus negatives,,,,,,,,,21 - Beverly Tandarich,2,2,,,,,,,,,,Jump Ball,20,8,0,13,,,,,,,21 - Beverly Tandarich,2,2,,,,1,,,,,,21 - Beverly Tandarich,4,2,0,0,0,-2,0,0,6,-2,4,75.0%,25.0%,50.0%,3,8,,,,,,Jump Ball,21,1,1,2,1,,,,,,,2,,,,,,,,7,0.7,,Jump Ball,21,2,2,4,2,,,,,,,4,,,,,,,,14,,,,Jump Ball,7,9,6,4,6,,6,2,2,,12,,,,,,,,54,.9%,108,,,Jump Ball,14,18,12,8,12,,12,4,4,,24,,,,,,,,108,.9%,,,,,,,,Negative,Major Defensive Liability,🔴,,,,21 - Beverly Tandarich,2,7,6,-2,4,0.14,,,,21 - Beverly Tandarich,2,11,6,-2,4,0.18,,,,21 - Beverly Tandarich,,,,,,,,,,21 - Beverly Tandarich,,,,,,,,,,21 - Beverly Tandarich,,,,,,,,,,21 - Beverly Tandarich,2,3.5,3.0,-1.0,2.0,0.06,,,,21 - Beverly Tandarich,2,5.5,3.0,-1.0,2.0,0.04,,,,21 - Beverly Tandarich,,,,,,,,,,21 - Beverly Tandarich,,,,,,,,,,21 - Beverly Tandarich,,,,,,,,,,Jump Ball,21,0.1,0.1,0.2,0.2,,,,,,,0.2,,,,,,,,0.7,,,,21 - Beverly Tandarich,1.0,1.0,,,,0.5,,,,,,Jump Ball,0.4,0.4,0.3,0.2,0.3,,0.3,0.2,0.2,,0.6,,,,,,,,2.8,,,,21 - Beverly Tandarich,,,2,,,,,,,2,,,,,,,,,,,1,,,,,,
22,Jayleen Rivera,22 - Jayleen Rivera,G,🪑,,,,3,11/06/25,4:00 PM,LA Mission,Home,3 - LA Mission (11/06/25),,,,,,,,,,,No Ball In Paint,Team Defense,1,,,,21,,,,,,,Rebound,Rebound,Post Shift,No Ball In Paint,,,,,,,,Top Rotation,,,,Same Side Help,,,,,,OVERALL,Subheader,PPM,F5,F6:F18,F,Points per minute,,,,,,,,,22 - Jayleen Rivera,21,20,7,,9,,,,,,,No Ball In Paint,,,,13,,,,,,,22 - Jayleen Rivera,103,278,25,37,90,110,16,10,,,,22 - Jayleen Rivera,164,299,50,92,-216,-209,-32,-10,605,-467,138,56.4%,43.6%,12.9%,1.3,1072,,,,,,No Ball In Paint,21,47,57,32,21,43,,38,6,15,12,57,20,,,,,,,348,40.3,,No Ball In Paint,21,47,57,32,21,43,,38,6,15,12,57,20,,,,,,,348,,,,No Ball In Paint,47,57,32,21,43,,38,6,15,12,57,20,,,,,,,348,3.1%,348,,,No Ball In Paint,47,57,32,21,43,,38,6,15,12,57,20,,,,,,,348,3.1%,,,,,,,,,,,,,,22 - Jayleen Rivera,21,390,586,-467,119,0.31,,,,22 - Jayleen Rivera,20,521,402,-346,56,0.11,,,,22 - Jayleen Rivera,7,46,81,-28,53,0.58,,,,22 - Jayleen Rivera,,,,,,,,,,22 - Jayleen Rivera,9,101,103,-93,10,0.07,,,,22 - Jayleen Rivera,21,18.6,27.9,-22.2,5.7,0.03,,,,22 - Jayleen Rivera,20,26.1,20.1,-17.3,2.8,0.01,,,,22 - Jayleen Rivera,7,6.6,11.6,-4.0,7.6,0.00,,,,22 - Jayleen Rivera,,,,,,,,,,22 - Jayleen Rivera,9,101.0,103.0,-93.0,10.0,0.07,,,,No Ball In Paint,21,4.3,4.4,2.9,4.2,3.3,,4.2,1.2,3.8,4.0,4.8,3.3,,,,,,,40.3,,,,22 - Jayleen Rivera,4.9,13.2,1.2,1.8,4.3,5.2,0.8,0.5,,,,No Ball In Paint,2.5,2.7,1.5,1.2,2.0,,1.8,0.5,1.3,1.2,2.7,1.0,,,,,,,18.5,,,,22 - Jayleen Rivera,1,4,55,1,11,6,38,,25,218,21,5,16,42,,10,,8,5,16,78,7,46,11,,9,36
23,Sophia Boyer,23 - Sophia Boyer,P,🪑,,,,4,11/14/25,4:00 PM,San Mateo,Away,4 - San Mateo (11/14/25),,,,,,,,,,,Post Shift,Team Defense,2,,,32,,,,,,,,Rotation Help,Rotation Help,Rebound,Rebound,,,,,,,,,,,,,,,,,,OVERALL,Subheader,PPM +/- vs. Avg,G5,G6:G18,G,Compared to season average,,,,,,,,,23 - Sophia Boyer,12,10,,,5,,,,,,,Post Shift,,,0,,,,,,,,23 - Sophia Boyer,20,29,8,5,9,23,1,5,,,,23 - Sophia Boyer,34,31,16,7,-20,-43,-2,-5,88,-70,18,55.7%,44.3%,11.4%,1.26,158,,,,,,Rebound,21,14,11,9,6,7,,4,1,2,4,8,2,,,,,,,68,8.2,,Rebound,21,28,22,18,12,14,,8,2,4,8,16,4,,,,,,,136,,,,Post Shift,,,,,,,,,,,,,,,,,,,,,,,,Post Shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 - Sophia Boyer,12,50,85,-70,15,0.08,,,,23 - Sophia Boyer,10,76,62,-51,11,0.07,,,,23 - Sophia Boyer,,,,,,,,,,23 - Sophia Boyer,,,,,,,,,,23 - Sophia Boyer,5,16,23,-19,4,0.06,,,,23 - Sophia Boyer,12,4.2,7.1,-5.8,1.3,0.03,,,,23 - Sophia Boyer,10,7.6,6.2,-5.1,1.1,0.00,,,,23 - Sophia Boyer,,,,,,,,,,23 - Sophia Boyer,,,,,,,,,,23 - Sophia Boyer,5,16.0,23.0,-19.0,4.0,0.06,,,,Rebound,21,1.3,0.8,0.8,1.2,0.5,,0.4,0.2,0.5,1.3,0.7,0.3,,,,,,,8.2,,,,23 - Sophia Boyer,1.7,2.4,0.7,0.4,0.8,1.9,0.1,0.4,,,,Post Shift,,,,,,,,,,,,,,,,,,,,,,,23 - Sophia Boyer,2,,12,,3,2,6,,8,21,,2,,6,,5,,,5,1,14,,7,,3,1,2
24,Claudia Solis,24 - Claudia Solis,G,🪑,,,,5,11/15/25,4:00 PM,Redwoods,Neutral,5 - Redwoods (11/15/25),,,,,,,,,,,Rebound,Rebounding,2,MAN,50,32,21,,,,,,,Steal,Steal,Rotation Help,Rotation Help,,,,,,,,,,,,,,,,,,OVERALL,Subheader,Hustle Plays,H5:J5,H6:J18,H–K,Merged block—includes header & player data within same column group,,,,,,,,,24 - Claudia Solis,12,11,2,,4,,,,,,,Rebound,20,8,0,13,,,,,,,24 - Claudia Solis,58,93,14,22,33,53,2,8,,,,24 - Claudia Solis,87,99,28,47,-77,-105,-4,-8,261,-194,67,57.4%,42.6%,14.7%,1.35,455,,,,,,Rotation Help,21,78,107,67,31,101,,50,9,19,7,120,38,,,,,,,627,66.2,,Rotation Help,21,78,107,67,31,101,,50,9,19,7,120,38,,,,,,,627,,,,Rebound,47,69,79,20,52,,25,8,14,10,42,30,,,,,,,396,7.%,792,,,Rebound,94,138,158,40,104,,50,16,28,20,84,60,,,,,,,792,7.%,,,,,,,,,,,,,,24 - Claudia Solis,12,142,254,-194,60,0.42,,,,24 - Claudia Solis,11,187,189,-176,13,0.07,,,,24 - Claudia Solis,2,7,22,,22,0.79,,,,24 - Claudia Solis,,,,,,,,,,24 - Claudia Solis,4,36,43,-18,25,0.52,,,,24 - Claudia Solis,12,11.8,21.1,-16.2,5.0,0.04,,,,24 - Claudia Solis,11,17.0,17.2,-16.0,1.2,0.01,,,,24 - Claudia Solis,2,3.5,11.0,,11.0,0.31,,,,24 - Claudia Solis,,,,,,,,,,24 - Claudia Solis,4,36.0,42.5,-18.0,24.5,0.51,,,,Rotation Help,21,7.1,8.2,6.1,6.2,7.8,,5.6,1.8,4.8,2.3,10.0,6.3,,,,,,,66.2,,,,24 - Claudia Solis,4.8,7.8,1.2,1.8,2.8,4.4,0.2,0.7,,,,Rebound,2.5,3.3,3.8,1.2,2.5,,1.2,0.7,1.2,1.0,2.0,1.5,,,,,,,20.7,,,,24 - Claudia Solis,9,,27,,5,2,15,,14,72,8,2,4,29,,8,,7,2,2,42,,15,1,,8,11
25,Chloe Espinosa,25 - Chloe Espinosa,P,🪑,,,,6,11/19/25,7:00 PM,Chaffey,Away,6 - Chaffey (11/19/25),,,,,,,,,,,Rotation Help,Team Defense,1,MAN,50,32,21,,,,,,,PNR Trap,Successful Trap,Steal,Steal,,,,,,,,,,,,,,,,,,OVERALL,Subheader,Team Defense,K5:M5,K6:M18,L–M,Merged block—includes header & player data,,,,,,,,,25 - Chloe Espinosa,10,9,1,,3,,,,,,,Rotation Help,20,8,0,13,,,,,,,25 - Chloe Espinosa,12,35,10,3,14,31,7,3,,,,25 - Chloe Espinosa,21,38,20,6,-31,-60,-14,-3,85,-108,-23,44.0%,56.0%,-11.9%,0.79,193,,,,,,Steal,21,9,10,2,2,3,,1,,,,6,1,,,,,,,34,3.2,,Steal,21,27,30,6,6,9,,3,,,,18,3,,,,,,,102,,,,Rotation Help,287,318,281,89,327,2,218,21,72,20,445,150,,,,,,,2230,19.6%,2230,,,Rotation Help,287,318,281,89,327,2,218,21,72,20,445,150,,,,,,,2230,19.6%,,,,,,,,,,,,,,25 - Chloe Espinosa,10,59,79,-108,-29,-0.25,,,,25 - Chloe Espinosa,9,93,52,-102,-50,-0.40,,,,25 - Chloe Espinosa,1,1,3,,3,0.30,,,,25 - Chloe Espinosa,,,,,,,,,,25 - Chloe Espinosa,3,27,24,-6,18,0.50,,,,25 - Chloe Espinosa,10,5.9,7.9,-10.8,-2.9,-0.05,,,,25 - Chloe Espinosa,9,10.3,5.8,-11.3,-5.6,-0.05,,,,25 - Chloe Espinosa,1,1.0,3.0,,3.0,0.30,,,,25 - Chloe Espinosa,,,,,,,,,,25 - Chloe Espinosa,3,27.0,24.0,-6.0,18.0,0.50,,,,Steal,21,0.8,0.8,0.2,0.4,0.2,,0.1,,,,0.5,0.2,,,,,,,3.2,,,,25 - Chloe Espinosa,1.2,3.5,1.0,0.3,1.4,3.1,0.7,0.3,,,,Rotation Help,15.1,15.1,13.4,5.2,15.6,1.0,10.4,1.8,6.0,2.0,21.2,7.5,,,,,,,114.3,,,,25 - Chloe Espinosa,1,,9,,1,,12,,10,20,1,3,,3,,3,,,2,7,27,,11,,2,,3
