,,Cuesta,,,,,,,,,,,DEFENSIVE SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game #
,,,,,,,,,,,,,Elite,,Strong,,Good,,Fair,,Weak,,Poor,,Liability ,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,1.00,,.80 - .99,,.60 - .79,,.40 - .59,,.20 - .39,,.00 - .19,,< 0,,,,,,,,,,,,,,,,,
OVERALL,,GAME SUMMARY,,,,,EXECUTION,,,,,,,,,,,BREAKDOWNS,,,,,,,,,PLAYER NOTES,,,,,,,,,,,,,,,
Player,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,PPM +/- vs. Avg,Hustle Plays,,,Team Defense,,,Rebounding,,,Stops,,Coverage Erorrs,,Team Errors,,Rebounding Errors,,,Foul Issues,,Strengths,,,Improvements,,,Coach Notes,,,,,,,,,
0 - Mia Rivera,26,43,-26,17,0.65,-0.12,6,,,23,,,1,,,1,,5,,7,,,,,,,,,,,,,,,,,,,,,,
2 - Victoria Om,33,40,-20,20,0.61,0.07,6,,,23,,,1,,,1,,,,9,,1,,,,,,,,,,,,,,,,,,,,
11 - Anaya Beard,27,50,-31,19,0.70,0.19,6,,,19,,,5,,,2,,5,,9,,,,,2,,,,,,,,,,,,,,,,,
12 - Aisleigh Canaday,14,17,-25,-8,-0.57,-0.11,3,,,3,,,1,,,2,,4,,6,,1,,,1,,,,,,,,,,,,,,,,,
20 - Faith Ledesma,29,47,-42,5,0.17,-0.14,9,,,18,,,4,,,1,,9,,9,,1,,,,,,,,,,,,,,,,,,,,
21 - Beverly Tandarich,3,5,,5,0.42,0.27,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 - Jayleen Rivera,18,31,-4,27,1.00,0.69,5,,,15,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,
23 - Sophia Boyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 - Claudia Solis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 - Chloe Espinosa,5,5,-15,-10,-1.00,-0.75,1,,,2,,,1,,,,,3,,3,,1,,,,,,,,,,,,,,,,,,,,
30 - Kiki Graham,33,44,-17,27,0.82,-0.18,11,,,20,,,1,,,3,,4,,2,,1,,,,,,,,,,,,,,,,,,,,
40 - Kimberly Limon,12,24,-15,9,0.75,0.02,5,,,10,,,1,,,1,,2,,4,,1,,,,,,,,,,,,,,,,,,,,
Total,200,306,-195,111,0.56,-0.02,54,,,134,,,15,,,15,,32,,51,,6,,,3,,,,,,,,,,,,,,,,,
