"viewport","clientWidth","shellWidth","wallLeft","wallRight","sectionWidth","gridColumns","gridGap","docWidth","contactWidth","docPadding","contactPadding","titleSize","titleLineHeight","titleFont","eyebrowSize","eyebrowLineHeight","eyebrowSpacing","formColumns","nameColumns","buttonHeight","inputHeight","textareaHeight","globalOverflowX","sectionOverflowX","evenSectionWalls","cardsAlignedTop","pillsAligned","formClean"
"375","360","351","4.5","4.5","351","1","28px","351","351","34px 36px","34px 36px","22.5px","normal","""Trebuchet MS"", ""Gill Sans"", sans-serif","10.88px","13.056px","4px","277px","277px","44","41.2","132","true","false","true","true","true","true"
"390","375","366","4.5","4.5","366","1","28px","366","366","34px 36px","34px 36px","22.5px","normal","""Trebuchet MS"", ""Gill Sans"", sans-serif","10.88px","13.056px","4px","292px","292px","44","41.2","132","true","false","true","true","true","true"
"430","415","406","4.5","4.5","406","1","28px","406","406","34px 36px","34px 36px","22.5px","normal","""Trebuchet MS"", ""Gill Sans"", sans-serif","10.88px","13.056px","4px","332px","332px","44","41.2","132","true","false","true","true","true","true"
"720","705","681","12","12","681","1","28px","681","681","34px 36px","34px 36px","24px","normal","""Trebuchet MS"", ""Gill Sans"", sans-serif","10.88px","13.056px","12px","607px","607px","44","41.2","132","true","false","true","true","true","true"
"768","753","706.91","23.05","23.05","706.91","1","28px","706.91","706.91","34px 36px","34px 36px","24px","normal","""Trebuchet MS"", ""Gill Sans"", sans-serif","11.2px","12.88px","12px","632.906px","632.906px","44","41.2","132","true","false","true","true","true","true"
"820","805","755.8","24.59","24.61","755.8","1","28px","755.8","755.8","34px 36px","34px 36px","24px","normal","""Trebuchet MS"", ""Gill Sans"", sans-serif","11.395px","13.1043px","12px","681.797px","681.797px","44","41.2","132","true","false","true","true","true","true"
"1024","1009","953","28","28","953","1","28px","953","953","34px 36px","34px 36px","24px","normal","""Trebuchet MS"", ""Gill Sans"", sans-serif","12.16px","13.984px","12px","431.5px 431.5px","431.5px 431.5px","44","41.2","132","true","false","true","true","true","true"
"1025","1010","937","36.5","36.5","937","2","28px","363.59","545.41","34px 36px","34px 36px","36px","37.8px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","227.703px 227.703px","227.703px 227.703px","44.83","41.2","132","true","false","true","true","true","true"
"1200","1185","1112","36.5","36.5","1112","2","28px","433.59","650.41","34px 36px","34px 36px","36px","37.8px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","280.203px 280.203px","280.203px 280.203px","50.22","41.2","132","true","false","true","true","true","true"
"1280","1265","1192","36.5","36.5","1192","2","28px","465.59","698.41","34px 36px","34px 36px","36px","37.8px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","304.203px 304.203px","304.203px 304.203px","50.22","41.2","132","true","false","true","true","true","true"
"1350","1335","1262","36.5","36.5","1262","2","28px","493.59","740.41","34px 36px","34px 36px","36px","37.8px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","325.203px 325.203px","325.203px 325.203px","50.22","41.2","132","true","false","true","true","true","true"
"1440","1425","1352","36.5","36.5","1352","2","28px","529.59","794.39","34px 36px","34px 36px","36px","37.8px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","352.188px 352.203px","352.188px 352.203px","50.22","41.2","132","true","false","true","true","true","true"
"1500","1485","1412","36.5","36.5","1412","2","28px","553.59","830.39","34px 36px","34px 36px","36px","37.8px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","370.188px 370.203px","370.188px 370.203px","50.22","41.2","132","true","false","true","true","true","true"
"1600","1585","1512","36.5","36.5","1512","2","28px","593.59","890.39","34px 38.4px","34px 38.4px","36px","37.8px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","397.797px 397.812px","397.797px 397.812px","50.22","41.2","132","true","false","true","true","true","true"
"1920","1905","1680","112.5","112.5","1680","2","28px","660.8","991.19","34px 46.08px","34px 46.08px","40.32px","42.336px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","440.516px 440.516px","440.516px 440.516px","50.22","41.2","132","true","false","true","true","true","true"
"2200","2185","1880","152.5","152.5","1880","2","28px","740.8","1111.2","34px 52.8px","34px 52.8px","42px","44.1px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","493.797px 493.812px","493.797px 493.812px","50.22","41.2","132","true","false","true","true","true","true"
"2400","2385","2080","152.5","152.5","2080","2","28px","820.8","1231.2","34px 57.6px","34px 57.6px","42px","44.1px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","549px 549.016px","549px 549.016px","50.22","41.2","132","true","false","true","true","true","true"
"2560","2545","2240","152.5","152.5","2240","2","28px","884.8","1327.2","34px 58px","34px 58px","42px","44.1px","Georgia, ""Palatino Linotype"", serif","12px","15px","10px","596.594px 596.609px","596.594px 596.609px","50.22","41.2","132","true","false","true","true","true","true"
