Page,Selector,Element,1280 Value,1440 Value,1920 Value,2560 Value,CSS Rule,Notes
Home,main#top > .hero,Hero/card width,1192,1352,1540,1540,"1720px+: width: min(1540px, 100%)",Compare this with main section width in Tab 1.
Home,main#top > .hero,Hero grid columns,694.734px 390px,837.375px 403.188px,967.453px 440px,854px 520px,"minmax(0, 1fr) var(--hero/media-width)",Shows whether the media column grows or caps.
Home,main#top > .hero .portrait-card,Hero image/frame size,390 x 370,403.2 x 403.2,440 x 370,520 x 409.6,various clamp/max-width rules by page,"Frame size, not always the raw img crop."
Home,main#top > .hero h1,Hero/title font,59.36px,62.08px,70.24px,71.2px,hero/title clamp and global desktop type vars,Rendered font-size.
Home,main#top > .hero .hero-text,Hero paragraph font / line-height,15.552px / 23.639px,15.776px / 23.9795px,16.32px / 24.8064px,16.32px / 24.8064px,var(--type-body-size) or page-specific clamp,Rendered font-size and line-height.
Home,main#top > .hero .hero-mobile-highlight,Hero overlay size,366.3 x 57.4,376.7 x 61.8,414 x 65.7,494 x 70.9,absolute highlight overlay with clamp insets/padding,Overlay is constrained by image/frame width.
Home,main#top > .hero .hero-mobile-highlight div,Hero overlay link font,11.2px,12.128px,12.672px,14.72px,overlay div font-size clamp,Rendered link-row font.
Home,main#top > .hero #impact.hero-stat-band article,Hero stat pill size,223 x 60,269.5 x 63.9,313.1 x 76,275.3 x 76,stat-band grid pill sizing,Only on Home and Anaya.
Systems,main.systems-detail-page > .subpage-hero,Hero/card width,1192,1352,1680,1680,width: 100% inside page shell,Compare this with main section width in Tab 1.
Systems,main.systems-detail-page > .subpage-hero,Hero grid columns,694.734px 390px,837.375px 403.188px,1107.45px 440px,994px 520px,"minmax(0, 1fr) var(--hero/media-width)",Shows whether the media column grows or caps.
Systems,main.systems-detail-page > .subpage-hero .subpage-hero-visual,Hero image/frame size,390 x 370,403.2 x 403.2,440 x 370,520 x 409.6,various clamp/max-width rules by page,"Frame size, not always the raw img crop."
Systems,main.systems-detail-page > .subpage-hero h1,Hero/title font,59.36px,62.08px,70.24px,71.2px,hero/title clamp and global desktop type vars,Rendered font-size.
Systems,main.systems-detail-page > .subpage-hero .subpage-hero-copy > p:not(.eyebrow),Hero paragraph font / line-height,16.128px / 24.192px,16.704px / 25.056px,18.432px / 27.648px,19.52px / 29.28px,var(--type-body-size) or page-specific clamp,Rendered font-size and line-height.
