Category,Item,Selector / Area,Final Value,Notes
Heading,Eyebrow,#systems .section-heading .eyebrow,COACHING SYSTEMS,Confirmed in index.html
Heading,Title,#systems .section-heading h2,Systems & Proof of Work,Lowercase of confirmed in index.html
Layout,Desktop grid,main#top #systems .library-grid,3 columns at >=1025px,Preserved
Layout,Tablet grid,main#top #systems .library-grid,2 columns from 721px through 1024px,Preserved
Layout,Mobile grid,main#top #systems .library-grid,1 column through 720px,Preserved
Layout,Desktop grid gap,main#top #systems .library-grid,"clamp(14px, 1.15vw, 22px)",Preserved existing Systems-specific rule
Card,Card visual system,.library-card.system-card,"Cream rounded cards, red titles, image-forward layout, pill buttons",Preserved
Card,Desktop card title,main#top #systems .library-card.system-card h3,26px / 28px; color var(--red),Preserved
Image,Media ratio,main#top #systems .library-card-media,aspect-ratio: 4 / 3,Preserved
Image,Image fit,.library-card-media img,object-fit: cover,Preserved
Image,Document preview crop,"DPAT, Recruiting, Scouting",object-position: center top,Preserved
Buttons,Button grid,.library-actions,2 columns x 2 rows,Preserved
Buttons,Button height,main#top #systems .button-small,"Desktop clamp(36px, 7cqw, 42px); tablet/mobile 40px",Equal heights verified
Buttons,Desktop button font fit,main#top #systems .system-card .button-small,"font-size: clamp(11px, 1.05vw, 14px) !important",Existing desktop rule edited to fit Head Coach Alignment
Buttons,Tablet button font fit,main#top #systems .system-card .button-small,"font-size: clamp(0.74rem, 1.35vw, 0.86rem)",Existing tablet rule edited
Links,Homepage Scouting hrefs,Scouting buttons in app.js,./assets/documents/scouting/*.pdf,Confirmed current Scouting document folder
Detail page cleanup,Head Coach label,systems.html,Head Coach Alignment,Confirmed full Head Coach label
Detail page cleanup,Head Coach DEI label,systems.html,Head Coach DEI,Confirmed full Head Coach label
Detail page cleanup,Scouting hrefs,systems.html,./assets/documents/scouting/*.pdf,Confirmed current Scouting document folder
