Category,Spec Item,Selector/Class,Property,Desktop/Base Value,1280,1440,1600,1920,2560,Tablet/Mobile Value,Source/Notes
Section wrapper,Markup,section.section.playing-career-section#playing-career,class/id,.section playing-career-section / #playing-career,,,,,,Same element at all breakpoints,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/index.html:178
Section wrapper,Width,#playing-career,width/max-width,"Follows .page-shell; max logic min(1680px, 100vw - 88px), min(2240px, 100vw - 320px) at >=2200",1192px,1352px,1512px,1680px,2240px,1024: 968px; 768: 721.91px; 720: 696px; 430: 406px; 390: 366px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:640
Section wrapper,Padding,#playing-career,padding,"34px top/bottom; inline clamp(36px, 2.4vw, 58px)",34px 36px,34px 36px,34px 38.4px,34px 46.08px,34px 58px,1024: 28px; 768: 23.04px; 720: 18px; <=430: 16px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:640; /Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19707
Section wrapper,Margin/top spacing,#playing-career,margin-top,28px,28px,28px,28px,28px,28px,1024/768: 24px; 720: 32px; <=430: 18px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:160
Section wrapper,Border radius,#playing-career,border-radius,34px,34px,34px,34px,34px,34px,1024/768: 26px; 720: 34px; <=430: 22px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:640
Section wrapper,Background,#playing-career,background,"rgba(255, 248, 240, 0.58)",,,,,,Same unless overridden by generic mobile section sizing,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:640
Section wrapper,Border,#playing-career,border,"1px solid rgba(31, 27, 22, 0.12)",,,,,,Same,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:640
Section wrapper,Box shadow,#playing-career,box-shadow,none,,,,,,Same,Computed browser value
Section heading,Heading wrapper,.section-heading,margin-bottom,24px desktop,24px,24px,24px,24px,24px,16px tablet/mobile,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19973
Section heading,Eyebrow text,.section-heading .eyebrow,text,BASKETBALL BACKGROUND,,,,,,Same,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/index.html:178
Section heading,Eyebrow style,.section-heading .eyebrow,font-size/line/color/spacing/weight,"12px / 15px / rgb(143,45,30) / 1.8px / 700",12px,12px,12px,12px,12px,1024: 11.006px; 768: 10.392px; 430/390: 9.92px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19973
Section heading,Eyebrow margin,.section-heading .eyebrow,margin-bottom,10px,10px,10px,10px,10px,10px,1024/768/720: 2px; <=430: 4px,/Users/Fogg/Desktop/Coach Fogarty Website/01-current-website/coach-fogarty-portfolio/styles.css:19973
